line_number,name,left_context,right_context,full_context
863,Queene,Lady and ,", bee","Lady and Queene, bee"
864,Queene,euer , was to,euer Queene was to
891,Queene,before the ,s highnes,before the Queenes highnes
901,Queene,when the ,s Maiestie,when the Queenes Maiestie
927,Queene,worthy ,",</l>","worthy Queene,</l>"
932,Queene,,s Maiestie,Queenes Maiestie
933,Queene,the ,. But,the Queene. But
936,Queene,vnto the ,s Maiestie,vnto the Queenes Maiestie
986,Queene,the ,s Maiestie,the Queenes Maiestie
1043,Elizabeth,accepturi ,am Reginam,accepturi Elizabetham Reginam
1087,Elizabeth,<l>, Regni,<l>Elizabeth Regni
1103,Queene,Which the ,s Maiestie,Which the Queenes Maiestie
1105,Queene,vnto the ,s Maiestie,vnto the Queenes Maiestie
1106,Queene,when the ,s Maiestie,when the Queenes Maiestie
1128,Queene,as a ,,as a Queene
1135,Queene,When the ,s Maiestie,When the Queenes Maiestie
1153,Queene,worthie ,", thou","worthie Queene, thou"
1178,Elizabeth,Anglis ,a tuis,Anglis Elizabetha tuis
1187,Queene,When the ,s maiesty,When the Queenes maiesty
1196,Queene,,s highnesse,Queenes highnesse
1203,Queene,of the ,s moste,of the Queenes moste
1208,Queene,to the ,s Maiestie,to the Queenes Maiestie
1269,Queene,on O ,", on whome","on O Queene, on whome"
1286,Queene,gaue the ,s,gaue the Queenes
1314,Queene,, amongst,Queene amongst
1323,Queene,worthis ,", and","worthis Queene, and"
1328,Queene,soueraigne , endure,soueraigne Queene endure
1337,Queene,,",  At","Queene,  At"
1382,Queene,Thus the ,s highnesse,Thus the Queenes highnesse
1385,Queene,gracious a , and soueraigne,gracious a Queene and soueraigne
1393,Queene,of the ,s maiesties,of the Queenes maiesties
1399,Queene,,s Maiestie,Queenes Maiestie
1414,Queene,good a ,",","good a Queene,"
1426,Queene,noted the ,s most,noted the Queenes most
1474,Queene,lawfull , of,lawfull Queene of
1475,Queene,The , taking,The Queene taking
1478,Queene,serueth the , of Ipocrasse,serueth the Queene of Ipocrasse
1480,Queene,to the ,", and","to the Queene, and"
1490,Queene,the ,s Maiestie,the Queenes Maiestie
1495,Queene,dayes of , Marie,dayes of Queene Marie
1502,Queene,which , Mary,which Queene Mary
1506,Queene,that the ,s Maiestie,that the Queenes Maiestie
1518,Queene,p>The ,s Maiestie,p>The Queenes Maiestie
1522,Queene,>The ,s re.,>The Queenes re.
1570,Queene,that a ,", hauing","that a Queene, hauing"
1575,Queene,persecution in , Maries,persecution in Queene Maries
1577,Elizabeth,Queene ,", they","Queene Elizabeth, they"
1577,Queene,Princesse , Elizabeth,Princesse Queene Elizabeth
1586,Queene,of the ,s house,of the Queenes house
1596,Queene,by the ,s owne,by the Queenes owne
1603,Queene,seas all , Maries,seas all Queene Maries
1622,England,Churche of ,e before,Churche of Englande before
1627,Queene,to the ,s maiestie,to the Queenes maiestie
1628,Queene,p>The ,s most,p>The Queenes most
1644,Queene,at the ,s Maiesties,at the Queenes Maiesties
1648,Queene,by the ,s Maiestie,by the Queenes Maiestie
1654,England,Churche of ,"e, if","Churche of Englande, if"
1669,Queene,by the ,s Maiesties,by the Queenes Maiesties
1679,Queene,to the ,s Maiesties,to the Queenes Maiesties
1733,Queene,of the ,s,of the Queenes
1735,Queene,of the ,s Maiestie,of the Queenes Maiestie
1787,Queene,,s Maiesties,Queenes Maiesties
1807,England,Queene of ,", the","Queene of England, the"
1807,Queene,For the , of England,For the Queene of England
1808,Queene,sayde  ,", Doctor","sayde  Queene, Doctor"
1821,Queene,betwixt the ,s Maiestie,betwixt the Queenes Maiestie
1823,England,Maiestie of ,", and","Maiestie of England, and"
1823,Queene,the ,s Maiestie,the Queenes Maiestie
1827,Queene,to the ,s highnesse,to the Queenes highnesse
1833,England,Realme of ,.</p>,Realme of England.</p>
