paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
314,Ludouico,376,384,"dayes, as",Guiciardini,"dayes, as Ludouico Guiciardini"
314,Queene,1238,1244,,of Fraunce,Queene of Fraunce
319,Edwarde,290,297,King,the sixt,King Edwarde the sixt
319,Edwarde,760,767,King,embased,King Edwarde embased
319,Henrie,245,251,King,,King Henrie
324,Emanuell,316,324,worshipfull,Lucar,worshipfull Emanuell Lucar
324,Iohn,361,365,"Merick,",Sparke,"Merick, Iohn Sparke"
324,maister,65,72,by the,",","by the maister ,"
324,maister,426,433,beeing,and wardens,beeing maister and wardens
324,Robert,332,338,"Lucar,",Rose,"Lucar, Robert Rose"
324,Robert,378,384,and,,and Robert
324,William,345,352,"Rose,",Merick,"Rose, William Merick"
325,Iohn,344,348,professed one,Moore,professed one Iohn Moore
325,Iohn,646,650,pped.,Moore,pped. Iohn Moore
325,Iohn,810,814,sayde,Moore,sayde Iohn Moore
325,Iohn,1224,1228,was,Moore,was Iohn Moore
325,William,86,93,,Gef,William Gef
325,William,179,186,was one,Geffrey,was one William Geffrey
325,William,461,468,"foloweth,",Geffrey,"foloweth, William Geffrey"
325,William,1263,1270,and,Geffrey,and William Geffrey
327,William,0,7,,Gef,William Gef
332,maister,391,398,Schoole,", there","Schoole maister , there"
332,William,69,76,named,,named William
337,duke,389,393,that the,of Guise,that the duke of Guise
337,Henrie,1221,1227,"warre,Sir",Sydney,"warre,Sir Henrie Sydney"
337,Henrie,1299,1305,ouer Sir,Sydney,ouer Sir Henrie Sydney
337,Prince,254,260,and the,of Condee,and the Prince of Condee
337,Sir,1217,1220,"warre,",Henrie,"warre, Sir Henrie"
337,Sir,1295,1298,ouer,Henrie,ouer Sir Henrie
342,Queene,42,48,King and,mother,King and Queene mother
343,Ambrose,132,139,Lorde,Dudley,Lorde Ambrose Dudley
343,Dudley,140,146,Ambrose,Earle,Ambrose Dudley Earle
343,Earle,147,152,Dudley,of Warwike,Dudley Earle of Warwike
344,Earle,19,24,sayd,",The Earle","sayd Earle ,The Earle"
344,Earle,29,34,"Earle,The",of Warwike,"Earle,The Earle of Warwike"
344,Earle,1876,1881,"Newhauen,The",of,"Newhauen,The Earle of"
345,maister,221,228,,Killigrues,maister Killigrues
346,Adrian,257,263,there Sir,Poynings,there Sir Adrian Poynings
346,Adrian,423,429,sayde Sir,his othe,sayde Sir Adrian his othe
346,Cutbert,484,491,sworne,Vaughan,sworne Cutbert Vaughan
346,Earle,38,43,the,of Warwikes,the Earle of Warwikes
346,Iohn,513,517,"Comptroller,",Fisher,"Comptroller, Iohn Fisher"
346,Knight,333,339,officers.,Marshall,officers. Knight Marshall
346,Knight,526,532,Fisher,porter,Fisher Knight porter
346,maister,577,584,Bromfield,of the,Bromfield maister of the
346,Sir,253,256,there,Adrian,there Sir Adrian
346,Sir,419,422,sayde,Adrian,sayde Sir Adrian
346,Thomas,665,671,Captayne,Wood,Captayne Thomas Wood
346,William,541,548,"porter,",,"porter, William"
346,William,602,609,"ordinace,",,"ordinace, William"
347,Earle,40,45,the,of Warwike,the Earle of Warwike
347,Knight,67,73,with the,,with the Knight
348,Earle,308,313,of the,of Warwike,of the Earle of Warwike
349,Maister,0,7,,Comptrollers,Maister Comptrollers
351,Frauncis,97,105,belonging to,Clearke,belonging to Frauncis Clearke
352,Adrian,1081,1087,him Sir,Poinings,him Sir Adrian Poinings
352,Earle,1404,1409,"Reingraue,The",of Warwike,"Reingraue,The Earle of Warwike"
352,Sir,1077,1080,before him,Adrian,before him Sir Adrian
353,Duke,160,164,the,of Guise,the Duke of Guise
368,Duke,47,51,that the,Daumale,that the Duke Daumale
372,William,278,285,and,Twedie,and William Twedie
374,Iohn,79,83,"Portesmouth,Sir",Portinatie,"Portesmouth,Sir Iohn Portinatie"
374,Iohn,178,182,came Sir,Portinarie,came Sir Iohn Portinarie
374,maister,396,403,perfect,in that,perfect maister in that
374,Sir,75,78,"Portesmouth,",Iohn,"Portesmouth, Sir Iohn"
374,Sir,174,177,came,Iohn,came Sir Iohn
376,Iohn,18,22,"daye,Sir",More,"daye,Sir Iohn More"
376,Iohn,117,121,Sir,More,Sir Iohn More
376,Sir,14,17,"daye,",Iohn,"daye, Sir Iohn"
376,Sir,113,116,Deuonshire.,Iohn,Deuonshire. Sir Iohn
377,Earle,172,177,to the,of,to the Earle of
377,Edwarde,272,279,and,Ormesby,and Edwarde Ormesby
377,Frauncis,136,144,that,Somersette,that Frauncis Somersette
378,Edward,118,124,Captayne,Horsey,Captayne Edward Horsey
378,Frauncis,66,74,Captayne,,Captayne Frauncis
380,Counte,557,563,to the,Montgomeri,to the Counte Montgomeri
380,Dudley,105,111,Edwarde,. passed,Edwarde Dudley . passed
380,Dudley,165,171,Edwarde,", and","Edwarde Dudley , and"
380,Edwarde,97,104,"Frenche,",Dudley,"Frenche, Edwarde Dudley"
380,Edwarde,157,164,"Hra,",Dudley,"Hra, Edwarde Dudley"
380,Iohn,186,190,Captayne,Ward,Captayne Iohn Ward
381,Duke,302,306,by ye,Daumale,by ye Duke Daumale
382,Counte,381,387,of the,,of the Counte
382,Earle,71,76,the,of,the Earle of
386,Counte,32,38,the,Montgomerie,the Counte Montgomerie
386,Sir,56,59,and,Hugh,and Sir Hugh
388,Erle,86,90,noble,of Warwike,noble Erle of Warwike
388,William,427,434,"dayes,",Lorde,"dayes, William Lorde"
389,Counte,39,45,the,de Montgomerie,the Counte de Montgomerie
390,Earle,76,81,to the,,to the Earle
390,Nicholas,43,51,belonging to,Musby,belonging to Nicholas Musby
397,Edward,23,29,Captayne,Horsey,Captayne Edward Horsey
397,Francis,82,89,Captaine,Blont,Captaine Francis Blont
404,Dudley,128,134,Edward,", and","Edward Dudley , and"
404,Edward,121,127,Captaine,Dudley,Captaine Edward Dudley
404,Iohn,100,104,,Warde,Iohn Warde
406,Francis,73,80,,Clearke,Francis Clearke
406,Frauncis,34,42,"Ianuary,",Clearke,"Ianuary, Frauncis Clearke"
410,Francis,102,109,belonging to,Clearke,belonging to Francis Clearke
420,Earle,123,128,to the,o Warwike,to the Earle o Warwike
422,knight,210,216,Throckmorton,arriued,Throckmorton knight arriued
422,Nicholas,117,125,,Throckmorton,Nicholas Throckmorton
422,Nicholas,187,195,sir,Throckmorton,sir Nicholas Throckmorton
422,Sir,92,95,"Caen,",,"Caen, Sir"
422,sir,183,186,&,Nicholas,& sir Nicholas
423,Marques,46,53,The,Dalbeul,The Marques Dalbeul
423,Marques,246,253,enclosed the,Dalbeuf,enclosed the Marques Dalbeuf
425,Iohn,386,390,Captayne,Warde,Captayne Iohn Warde
425,Knight,92,98,Throckmorton,", Monsieur","Throckmorton Knight , Monsieur"
425,maister,455,462,and,Wheler,and maister Wheler
425,Nicholas,70,78,Sir,Throckmorton,Sir Nicholas Throckmorton
425,Sir,66,69,"February,",Nicholas,"February, Sir Nicholas"
426,Counte,21,27,as the,Montgomerie,as the Counte Montgomerie
426,maister,605,612,Captayne and,flayne,Captayne and maister flayne
428,Marques,778,785,,Dalbeuf,Marques Dalbeuf
431,Nicholas,732,740,Captayne,with,Captayne Nicholas with
434,Adrian,23,29,sir,Poynings,sir Adrian Poynings
434,Adrian,94,100,Sir,Poynings,Sir Adrian Poynings
434,Knight,110,116,Poynings,", Marshall","Poynings Knight , Marshall"
434,Prince,1018,1024,of the,of Conde,of the Prince of Conde
434,sir,19,22,,Adrian,sir Adrian
434,Sir,90,93,,Adrian,Sir Adrian
439,knight,210,216,Paulet,met with,Paulet knight met with
439,maister,476,483,"other,",,"other, maister"
439,Sir,194,197,where,Hugh,where Sir Hugh
441,Duke,1402,1406,after the,of Guise,after the Duke of Guise
441,Iohn,3028,3032,sir,Portinary,sir Iohn Portinary
441,Iohn,3455,3459,Captayne,Warde,Captayne Iohn Warde
441,sir,3024,3027,"built,",Iohn,"built, sir Iohn"
442,Earle,287,292,,of Warwike,Earle of Warwike
449,Francis,137,144,Sainte,", and","Sainte Francis , and"
451,coronell,215,223,Bassompeere.,ouer,Bassompeere. coronell ouer
454,Dudley,27,33,Edward,. Captaine,Edward Dudley . Captaine
454,Dudley,52,58,Edwarde,arriued,Edwarde Dudley arriued
454,Edward,20,26,"Iune,",Dudley,"Iune, Edward Dudley"
454,Edwarde,44,51,Captaine,Dudley,Captaine Edwarde Dudley
457,Edward,35,41,Randoll.,,Randoll. Edward
457,Knight,116,122,to be,Marshall,to be Knight Marshall
458,Adrian,35,41,that Sir,Poynings,that Sir Adrian Poynings
458,Iames,980,985,,Wentworth,Iames Wentworth
458,Iohn,1001,1005,and,Wentworth,and Iohn Wentworth
458,Knight,58,64,being,Marshal,being Knight Marshal
458,Knight,318,324,roointh of,,roointh of Knight
458,maister,1560,1567,the,and marriners,the maister and marriners
458,Sir,31,34,that,Adrian,that Sir Adrian
458,Sir,195,198,"agayne,",Thomas,"agayne, Sir Thomas"
458,Sir,245,248,,Thomas,Sir Thomas
458,Sir,1384,1387,"towardes Rie,",Thomas,"towardes Rie, Sir Thomas"
458,Thomas,199,205,"agayne,Sir",Finche,"agayne,Sir Thomas Finche"
458,Thomas,249,255,Sir,Finche,Sir Thomas Finche
458,Thomas,505,511,kinsman,Finch,kinsman Thomas Finch
458,Thomas,1388,1394,"Rie,Sir",Finch,"Rie,Sir Thomas Finch"
459,Sir,17,20,body of,Thomas,body of Sir Thomas
459,Thomas,21,27,of Sir,Finche,of Sir Thomas Finche
460,Edward,55,61,"Gentleman,",Randoll,"Gentleman, Edward Randoll"
460,Edwarde,81,88,sayde,Randoll,sayde Edwarde Randoll
460,Iohn,218,222,,Shute,Iohn Shute
460,Knight,129,135,appoynted,Marshall,appoynted Knight Marshall
461,Richarde,31,39,Captayne,Sanders,Captayne Richarde Sanders
461,William,104,111,Captayne,Saul,Captayne William Saul
462,Francis,90,97,"Knolles,Sir",Knolles,"Knolles,Sir Francis Knolles"
462,Frauncis,69,77,,Knolles,Frauncis Knolles
462,Sir,47,50,"Thursday,",,"Thursday, Sir"
462,Sir,86,89,"Knolles,",Francis,"Knolles, Sir Francis"
474,Ferdinando,374,384,,Liggens,Ferdinando Liggens
474,Iohn,410,414,"Sturley,",Highfielde,"Sturley, Iohn Highfielde"
474,Philip,394,400,"Liggens,",Sturley,"Liggens, Philip Sturley"
482,maister,236,243,"Bromfielde,",of the,"Bromfielde, maister of the"
482,William,17,24,"euening,",Robinson,"euening, William Robinson"
482,William,63,70,killed.,Bromfield,killed. William Bromfield
482,William,91,98,was,Robinson,was William Robinson
482,William,216,223,&,Bromfielde,& William Bromfielde
483,Sir,72,75,men.,Hugh,men. Sir Hugh
487,Sir,19,22,,Hugh,Sir Hugh
487,sir,65,68,appoynted,Hugh,appoynted sir Hugh
488,Sir,144,147,sayde,Hugh,sayde Sir Hugh
492,Cutbert,24,31,"also,",Vaughan,"also, Cutbert Vaughan"
492,Cutbert,101,108,prayse.,Vaughan,prayse. Cutbert Vaughan
494,maister,180,187,Richelieu,of the,Richelieu maister of the
495,maister,32,39,"Richelieu,",of the,"Richelieu, maister of the"
497,maister,107,114,great,of the,great maister of the
501,Duke,44,48,and e,of etpencier,and e Duke of etpencier
501,Duke,101,105,and the,of Montpensier,and the Duke of Montpensier
501,Prince,23,29,The,of ade,The Prince of ade
501,Prince,76,82,daye the,of Coude,daye the Prince of Coude
502,Prince,197,203,by the,,by the Prince
505,Earle,77,82,worthy,of Warwike,worthy Earle of Warwike
505,Earle,185,190,of the,of Warwike,of the Earle of Warwike
507,William,185,192,"Iuly, M.",,"Iuly, M. William"
508,maister,11,18,that,P haue,that maister P haue
509,Iohn,404,408,Captaine,Shute,Captaine Iohn Shute
509,Maurice,184,191,where Sir,Deuys,where Sir Maurice Deuys
509,Nicholas,455,463,,Malby,Nicholas Malby
509,Sir,180,183,where,Maurice,where Sir Maurice
509,Sir,326,329,Connestable.,Hugh,Connestable. Sir Hugh
510,Earle,67,72,The,of Warwike,The Earle of Warwike
510,Earle,125,130,valiaunte,of Warwike,valiaunte Earle of Warwike
512,Earle,114,119,that the,of Warwike,that the Earle of Warwike
514,Earle,54,59,sayd,should,sayd Earle should
514,Earle,308,313,,of Warwike,Earle of Warwike
514,Earle,590,595,sayde,shoulde,sayde Earle shoulde
515,Erle,73,77,sayd,,sayd Erle
517,Earle,66,71,saide,of,saide Earle of
517,Queene,209,215,to the,of Englande,to the Queene of Englande
518,Earle,49,54,sayd,", as the","sayd Earle , as the"
520,Earle,102,107,the,of Rutlande,the Earle of Rutlande
520,maister,46,53,to bee,Oliuer,to bee maister Oliuer
521,Earle,71,76,and,of,and Earle of
522,Earle,9,14,Thus the,of Warwike,Thus the Earle of Warwike
523,Earle,257,262,by the,of Warwike,by the Earle of Warwike
523,Queene,126,132,King and,mother,King and Queene mother
524,Edward,348,354,where of,Randolfe,where of Edward Randolfe
526,Cutbert,127,134,chiefe.,Vaughan,chiefe. Cutbert Vaughan
526,Earle,219,224,the,of Worcester,the Earle of Worcester
526,Edwarde,340,347,"Zouch,",Ormesby,"Zouch, Edwarde Ormesby"
526,Frauncis,169,177,"towne,",Somerset,"towne, Frauncis Somerset"
526,Iohn,282,286,"Darcie,",Zouch,"Darcie, Iohn Zouch"
526,Iohn,422,426,"Croker,",Cockson,"Croker, Iohn Cockson"
526,Iohn,452,456,"Remishe,",Prowde,"Remishe, Iohn Prowde"
526,Richard,406,413,"Poignard,",Croker,"Poignard, Richard Croker"
526,Thomas,357,363,"Ormesby,",Drurie,"Ormesby, Thomas Drurie"
526,Thomas,436,442,"Cockson,",Remishe,"Cockson, Thomas Remishe"
526,William,465,472,"Prowde,",Saul,"Prowde, William Saul"
527,Andrew,201,207,,", Captayne","Andrew , Captayne"
527,maister,259,266,with,Robynson,with maister Robynson
527,maister,279,286,"Robynson, &",Bromfield,"Robynson, & maister Bromfield"
527,Nicholas,170,178,"byrth,",and,"byrth, Nicholas and"
527,Richard,237,244,,Sanders,Richard Sanders
530,Philip,21,27,King,at Bruxels,King Philip at Bruxels
532,Iohn,559,563,Wherefore Sir,Whight,Wherefore Sir Iohn Whight
532,sir,130,133,signified to,Thomas,signified to sir Thomas
532,Sir,555,558,Wherefore,Iohn,Wherefore Sir Iohn
532,Thomas,134,140,to sir,Lodge,to sir Thomas Lodge
539,Henrie,68,74,honourable Sir,Carie,honourable Sir Henrie Carie
539,Sir,64,67,honourable,Henrie,honourable Sir Henrie
542,Queene,168,174,"Cambridge,The",a progresse,"Cambridge,The Queene a progresse"
545,Ferdinando,76,86,,the Emperor,Ferdinando the Emperor
545,Ferdinando,206,216,for,late,for Ferdinando late
549,Earle,160,165,Mathew,of Lineux,Mathew Earle of Lineux
549,Henrie,19,25,,Stuart,Henrie Stuart
549,Henrie,80,86,"Februarie,",Stuart,"Februarie, Henrie Stuart"
549,Marie,503,508,maried,Queene,maried Marie Queene
549,Queene,509,515,Marie,of Scotlande,Marie Queene of Scotlande
550,Doctor,175,181,"Garter,",Wotton,"Garter, Doctor Wotton"
550,doctor,250,256,"Counsaile,",Haddon,"Counsaile, doctor Haddon"
550,Doctor,354,360,Maister,Aubrey,Maister Doctor Aubrey
550,knight,129,135,Montacute,of the,Montacute knight of the
550,Maister,346,353,"other,",Doctor,"other, Maister Doctor"
551,Francis,337,344,by Sir,Knolles,by Sir Francis Knolles
551,Margaret,147,155,Ladie,cou,Ladie Margaret cou
551,Sir,333,336,conueyed by,Francis,conueyed by Sir Francis
556,Archbishop,1073,1083,the,of,the Archbishop of
556,Duke,1126,1130,and the,of Norffolke,and the Duke of Norffolke
556,Earle,648,653,,of Bedfords,Earle of Bedfords
556,Marques,56,63,Margraue or,of Baden,Margraue or Marques of Baden
556,Prince,11,17,Christofor,and Margraue,Christofor Prince and Margraue
556,Queene,1196,1202,Christning the,gaue,Christning the Queene gaue
557,Ambrose,97,104,Warwike.,Earle,Warwike. Ambrose Earle
557,Earle,79,84,,of Warwike,Earle of Warwike
557,Earle,105,110,Ambrose,of Warwike,Ambrose Earle of Warwike
557,Earle,158,163,to the,of Bedforde,to the Earle of Bedforde
558,Erle,236,240,sayde,of Warwike,sayde Erle of Warwike
558,maister,132,139,"Thomas,",Gunner,"Thomas, maister Gunner"
558,Robert,70,76,"seruiceable man,",Thomas,"seruiceable man, Robert Thomas"
558,Robert,117,123,,Thomas,Robert Thomas
558,Thomas,77,83,Robert,slaine,Robert Thomas slaine
558,Thomas,124,130,Robert,", maister","Robert Thomas , maister"
560,Charles,239,246,king,the,king Charles the
560,Duke,620,624,Thomas,of Norffolke,Thomas Duke of Norffolke
560,Earle,650,655,Robert,of Leycester,Robert Earle of Leycester
560,knight,143,149,Rambulet a,of the,Rambulet a knight of the
560,Robert,643,649,and,Earle,and Robert Earle
560,Thomas,613,619,inuested,Duke,inuested Thomas Duke
563,Marques,4,11,The,of Baden,The Marques of Baden
563,Marques,78,85,"wife,The",of Baden,"wife,The Marques of Baden"
563,Marques,591,598,the,a few,the Marques a few
564,knight,645,651,Gresham,", agent","Gresham knight , agent"
564,sir,626,629,worshipfull,Thomas,worshipfull sir Thomas
564,Thomas,630,636,worshipfull sir,Gresham,worshipfull sir Thomas Gresham
566,maister,857,864,made by,Edwardes,made by maister Edwardes
567,Prince,316,322,learned a,",","learned a Prince ,"
567,Queene,48,54,the,at the,the Queene at the
570,Edward,22,28,Captaine,Randolfe,Captaine Edward Randolfe
571,Charles,64,71,ened.,Iames,ened. Charles Iames
571,Charles,441,448,"were,",king,"were, Charles king"
571,duke,498,502,Philibert,of Sauoy,Philibert duke of Sauoy
571,Henrie,111,117,sonne to,Stuart,sonne to Henrie Stuart
571,Iames,72,77,Charles,", the","Charles Iames , the"
571,Marie,165,170,and,", King","and Marie , King"
571,Philibert,488,497,and,duke,and Philibert duke
571,prince,44,50,ng,Scottes,ng prince Scottes
571,Queene,181,187,King and,of Scottes,King and Queene of Scottes
572,Henrie,168,174,"morning,",Stuart,"morning, Henrie Stuart"
575,Margaret,35,43,Ladie,Dowglas,Ladie Margaret Dowglas
576,Edwarde,196,203,first,Bankes,first Edwarde Bankes
576,Richard,345,352,sir,Mallorie,sir Richard Mallorie
576,Richarde,269,277,1566.,Chamberlaine,1566. Richarde Chamberlaine
576,Richarde,439,447,then,Lambert,then Richarde Lambert
576,sir,305,308,"sherife,",Martin,"sherife, sir Martin"
576,sir,341,344,,Richard,sir Richard
576,sir,363,366,"Mallorie,",William,"Mallorie, sir William"
576,sir,386,389,and,Thomas,and sir Thomas
576,Thomas,390,396,and sir,,and sir Thomas
576,William,367,374,sir,Hewet,sir William Hewet
580,Henrie,394,400,of sir,Sidney,of sir Henrie Sidney
580,knight,408,414,Sidney,of the,Sidney knight of the
580,sir,390,393,foresight of,Henrie,foresight of sir Henrie
582,Erle,167,171,Thomas,of Sussex,Thomas Erle of Sussex
582,Henrie,500,506,"knight,",Cobham,"knight, Henrie Cobham"
582,knight,187,193,.&c.,of the,.&c. knight of the
582,knight,492,498,Mildmay,", Henrie","Mildmay knight , Henrie"
582,sir,452,455,"North,",,"North, sir"
582,Thomas,160,166,honourable,Erle,honourable Thomas Erle
582,Thomas,477,483,,Mildmay,Thomas Mildmay
583,Earle,73,78,sayde,,sayde Earle
584,Charles,67,74,"Vienna,",Archeduke,"Vienna, Charles Archeduke"
585,Earle,183,188,sayde,of Sussex,sayde Earle of Sussex
585,Earle,1188,1193,sayde,supped,sayde Earle supped
585,Henrie,101,107,,Brooke,Henrie Brooke
585,knight,484,490,Dethicke,", alias","Dethicke knight , alias"
585,maister,75,82,Englande by,,Englande by maister
585,sir,463,466,"Garter,",Gylbert,"Garter, sir Gylbert"
585,William,587,594,and,,and William
586,Charles,343,350,Archeduke,", and","Archeduke Charles , and"
588,Philip,576,582,king,. And,king Philip . And
588,William,415,422,,Holstocke,William Holstocke
589,Iohn,283,287,and,Basing,and Iohn Basing
589,Thomas,343,349,and,,and Thomas
589,William,71,78,sayde,,sayde William
589,William,182,189,being,Wynter,being William Wynter
591,Archbishop,103,113,Yong,of,Yong Archbishop of
591,bishop,41,47,,of r,bishop of r
591,Thomas,91,97,deceassed,Yong,deceassed Thomas Yong
594,Philip,215,221,"Ianuarie,",Mestrell,"Ianuarie, Philip Mestrell"
600,Lord Maior,80,90,Thomas Roe,of London,Thomas Roe Lord Maior of London
600,Sir,65,68,prepared.,Thomas,prepared. Sir Thomas
600,Thomas,69,75,prepared.Sir,Roe Lord,prepared.Sir Thomas Roe Lord
601,Iohn,59,63,and sir,White,and sir Iohn White
601,Lord Maior,122,132,as the,should,as the Lord Maior should
601,sir,55,58,and,Iohn,and sir Iohn
602,Andrew,23,29,"August,",Gregorruiche,"August, Andrew Gregorruiche"
604,Duke,20,24,"October,",of Norffolke,"October, Duke of Norffolke"
604,duke,71,75,Howard,of Norffolke,Howard duke of Norffolke
604,Henrie,251,257,sir,Neuill,sir Henrie Neuill
604,Howard,64,70,Thomas,duke,Thomas Howard duke
604,sir,247,250,"prisoner,",Henrie,"prisoner, sir Henrie"
604,Thomas,57,63,Tower.,Howard,Tower. Thomas Howard
605,Lord Maior,15,25,yeare the,of London,yeare the Lord Maior of London
606,Charles,1080,1087,with,,with Charles
606,Earle,119,124,,of Northumberland,Earle of Northumberland
606,Earle,1022,1027,night the,departed,night the Earle departed
606,Earle,1106,1111,,of Westmerlande,Earle of Westmerlande
606,maister,650,657,and,Vanghan,and maister Vanghan
606,sir,608,611,to be,,to be sir
606,Thomas,87,93,rebelled.,Percey,rebelled. Thomas Percey
612,George,182,188,sir,Bowes,sir George Bowes
612,Robert,200,206,and,Bowes,and Robert Bowes
612,sir,178,181,,George,sir George
613,Earle,67,72,him the,of Cumberlande,him the Earle of Cumberlande
614,Earle,4,9,The,of Sussex,The Earle of Sussex
614,Earle,87,92,"North,The",of Suslex,"North,The Earle of Suslex"
614,Earle,590,595,with the,of Rutland,with the Earle of Rutland
614,Raufe,687,692,sir,Sadler,sir Raufe Sadler
614,sir,683,686,"horsmen,",Raufe,"horsmen, sir Raufe"
614,William,719,726,Lord,Eures,Lord William Eures
615,Charles,1420,1427,Master,Howarde,Master Charles Howarde
615,Earle,782,787,by the,of Warwike,by the Earle of Warwike
615,Earle,1095,1100,"Warwike,The",of Warwike,"Warwike,The Earle of Warwike"
615,Edwarde,502,509,with,Dakers,with Edwarde Dakers
615,Erle,85,89,met the,of,met the Erle of
615,Erle,617,621,by the,of Sussex,by the Erle of Sussex
615,Erle,1075,1079,beside the,of Warwike,beside the Erle of Warwike
615,Erle,1522,1526,vnder the,of Warwike,vnder the Erle of Warwike
615,Frauncis,1597,1605,,Knolles,Frauncis Knolles
615,George,4,10,Sir,Bowes,Sir George Bowes
615,Henrie,1544,1550,yong,Knolles,yong Henrie Knolles
615,Sir,0,3,,George,Sir George
615,sir,1575,1578,sonne to,,sonne to sir
616,Earle,520,525,vpon the,of Warwike,vpon the Earle of Warwike
616,Erle,203,207,whereas the,of Warwike,whereas the Erle of Warwike
616,Erle,711,715,from the,of Suffer,from the Erle of Suffer
616,Erle,753,757,vnto the,of Warwik,vnto the Erle of Warwik
616,Erle,1052,1056,vpon the,of  Sussex,vpon the Erle of  Sussex
616,Robert,352,358,,Glouer,Robert Glouer
617,Earle,4,9,The,of Warwike,The Earle of Warwike
617,Earle,65,70,But the,of Sussex,But the Earle of Sussex
618,George,380,386,The Sir,,The Sir George
618,Sir,376,379,The,George,The Sir George
621,maister,225,232,his,with,his maister with
622,Iohn,997,1001,and Sir,,and Sir Iohn
622,Sir,993,996,and,Iohn,and Sir Iohn
625,George,367,373,"horsemenne,",Henry,"horsemenne, George Henry"
625,Henry,374,379,George,and Machal,George Henry and Machal
625,Iohn,300,304,welled sir,Forster,welled sir Iohn Forster
625,sir,296,299,welled,Iohn,welled sir Iohn
628,Bishop,143,149,Tho.,of Poklinton,Tho. Bishop of Poklinton
628,Iohn,74,78,"Askue,",Fulthorpe,"Askue, Iohn Fulthorpe"
628,Robert,110,116,"Esquires,",Peneman,"Esquires, Robert Peneman"
629,Earle,8,13,William,of Pembroke,William Earle of Pembroke
629,Knight,46,52,"Cardiffe,",of,"Cardiffe, Knight of"
629,William,0,7,,Earle,William Earle
630,Earle,4,9,The,of Sussex,The Earle of Sussex
630,Lard,1141,1145,to the,of  Buclewgh,to the Lard of  Buclewgh
630,sir,469,472,"Marches,",,"Marches, sir"
630,William,491,498,,Drurie,William Drurie
631,Earle,2299,2304,vnto the,of Sussex,vnto the Earle of Sussex
631,Iohn,23,27,Sir,Forster,Sir Iohn Forster
631,Iohn,71,75,sir,Forster,sir Iohn Forster
631,Lard,1645,1649,daye the,of Sesford,daye the Lard of Sesford
631,Sir,19,22,,Iohn,Sir Iohn
631,sir,67,70,,Iohn,sir Iohn
633,Lard,175,179,to the,of Burlewgh,to the Lard of Burlewgh
634,sir,122,125,Marshall,William,Marshall sir William
634,William,126,133,Marshall sir,Drurie,Marshall sir William Drurie
638,George,186,192,Sir,Bowes,Sir George Bowes
638,Sir,182,185,"Eures,",George,"Eures, Sir George"
639,Earle,26,31,the,of Sussex,the Earle of Sussex
639,maister,131,138,"Honnesdon,",Drurie,"Honnesdon, maister Drurie"
640,maister,44,51,forth,Drurie,forth maister Drurie
640,maister,348,355,,Drurie,maister Drurie
641,Earle,54,59,,of Sussex,Earle of Sussex
643,Earle,23,28,The,of Sussex,The Earle of Sussex
643,maister,188,195,,Drurie,maister Drurie
646,maister,37,44,Marshall,Drurie,Marshall maister Drurie
647,maister,153,160,their,Gunner,their maister Gunner
647,maister,315,322,the,Gunner,the maister Gunner
647,maister,521,528,"peece,The",Gunner,"peece,The maister Gunner"
648,maister,219,226,Marshall,Drurie,Marshall maister Drurie
648,maister,284,291,theyr,",","theyr maister ,"
649,Gray,208,212,Gylbert,the Lorde,Gylbert Gray the Lorde
649,maister,13,20,Marshall,Drurie,Marshall maister Drurie
649,William,125,132,vnto,Trotter,vnto William Trotter
650,maister,122,129,seruant of,Drurie,seruant of maister Drurie
651,maister,371,378,Marshall,Drurie,Marshall maister Drurie
652,maister,133,140,sayde,Drurie,sayde maister Drurie
653,Queene,418,424,in the,of Englands,in the Queene of Englands
655,Erle,156,160,the,of Northumberlands,the Erle of Northumberlands
655,William,277,284,named,God saue,named William God saue
660,maister,40,47,sente,William,sente maister William
660,William,48,55,maister,Drurie,maister William Drurie
661,Duke,191,195,the,of Chastellerault,the Duke of Chastellerault
661,Duke,888,892,sayde,of Chastrautes,sayde Duke of Chastrautes
661,Duke,1308,1312,aduersaries the,and his,aduersaries the Duke and his
661,Earle,154,159,of the,of Murrey,of the Earle of Murrey
661,Earle,564,569,,of  then,Earle of  then
661,Queene,1044,1050,wythoute the,of Englandes,wythoute the Queene of Englandes
662,Erle,44,48,commaundement the,of Sussex,commaundement the Erle of Sussex
662,Erle,260,264,sayd,of of,sayd Erle of of
662,maister,133,140,ordeined,William,ordeined maister William
662,William,141,148,maister,Drurie,maister William Drurie
663,Earle,26,31,to the,of Sussex,to the Earle of Sussex
663,Earle,398,403,said,made,said Earle made
663,Erle,151,155,with the,of Lenox,with the Erle of Lenox
663,prince,1131,1137,,& country,prince & country
663,sir,66,69,instituted,Wil.,instituted sir Wil.
663,sir,281,284,sayd,William,sayd sir William
663,William,285,292,sayd sir,,sayd sir William
664,George,265,271,sir,Carie,sir George Carie
664,Robert,287,293,and sir,Conestable,and sir Robert Conestable
664,Sir,208,211,knights.,Wil.,knights. Sir Wil.
664,sir,224,227,"Drury,",Thomas,"Drury, sir Thomas"
664,sir,261,264,"Maners,",George,"Maners, sir George"
664,sir,283,286,and,Robert,and sir Robert
664,sir,328,331,sayde,,sayde sir
664,Thomas,228,234,sir,,sir Thomas
664,William,350,357,,Drurie,William Drurie
665,Iohn,687,691,captaine,Conestable,captaine Iohn Conestable
