paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
99,Marie,562,567,Queene,he had,Queene Marie he had
99,Queene,555,561,dayes of,Marie,dayes of Queene Marie
100,Queene,266,272,which,Mary,which Queene Mary
103,Prince,935,941,the,", the","the Prince , the"
103,Queene,4668,4674,that a,", hauing","that a Queene , hauing"
104,Elizabeth,323,332,Queene,", they","Queene Elizabeth , they"
104,Queene,122,128,persecution in,Maries,persecution in Queene Maries
104,Queene,316,322,Princesse,Elizabeth,Princesse Queene Elizabeth
105,maister,39,46,one of,Hunnings,one of maister Hunnings
107,Doctor,103,109,Spittell,Bill,Spittell Doctor Bill
107,doctor,131,137,Tuesday,Coxe,Tuesday doctor Coxe
107,Doctor,183,189,Wednesday,Horne,Wednesday Doctor Horne
107,Queene,332,338,seas all,Maries,seas all Queene Maries
108,Lord Maior,71,81,when the,and Alderme,when the Lord Maior and Alderme
108,Lord Maior,254,264,wherevpon the,sent,wherevpon the Lord Maior sent
108,maister,14,21,Sunday,Sampson,Sunday maister Sampson
109,Bishop,524,530,vnto the,of London,vnto the Bishop of London
110,Iohn,745,749,Iugge and,Cawood,Iugge and Iohn Cawood
110,Richarde,726,734,imprinted by,Iugge,imprinted by Richarde Iugge
113,Abbot,7948,7953,was the,of Westminster,was the Abbot of Westminster
113,Abbot,9164,9169,sauing the,of Westmynster,sauing the Abbot of Westmynster
113,Archbishop,1104,1114,with the,of Yorke,with the Archbishop of Yorke
113,Bishop,3723,3729,,of Wynchester,Bishop of Wynchester
113,Bishop,7032,7038,,of Winchester,Bishop of Winchester
113,Doctor,3771,3777,appointed,Cole,appointed Doctor Cole
113,Maister,6483,6490,which,Horne,which Maister Horne
113,Robert,4888,4894,by one,,by one Robert
120,Byshop,66,72,the,of Arras,the Byshop of Arras
120,Duke,26,30,the,of Alua,the Duke of Alua
120,Earle,121,126,Silua,of Mellito,Silua Earle of Mellito
120,Knight,183,189,"Zwichem,",& presidente,"Zwichem, Knight & presidente"
120,Prince,44,50,the,of Orange,the Prince of Orange
121,Andrew,231,237,Saint,", the","Saint Andrew , the"
121,Byshop,243,249,the,of Orleans,the Byshop of Orleans
122,Byshop,31,37,the,of Elie,the Byshop of Elie
122,Doctor,151,157,"Queene,",Nicholas,"Queene, Doctor Nicholas"
122,Howard,65,71,William,Baron,William Howard Baron
122,Nicholas,158,166,Doctor,Wutton,Doctor Nicholas Wutton
122,Queene,8,14,For the,of England,For the Queene of England
122,Queene,143,149,sayde,", Doctor","sayde Queene , Doctor"
122,William,57,64,Lorde,Howard,Lorde William Howard
123,Christierna,161,172,there was,,there was Christierna
123,Duke,8,12,For the,of Sauoy,For the Duke of Sauoy
123,Duke,234,238,yong,", whiche","yong Duke , whiche"
123,Erle,38,42,were the,of Stropiana,were the Erle of Stropiana
126,Iohn,4,8,Sir,Mason,Sir Iohn Mason
126,Iohn,27,31,"Knighte,Sir",Mason,"Knighte,Sir Iohn Mason"
126,Sir,0,3,,Iohn,Sir Iohn
126,Sir,23,26,"Knighte,",Iohn,"Knighte, Sir Iohn"
127,Iohn,59,63,sayde Sir,Mason,sayde Sir Iohn Mason
127,Queene,479,485,Dolphin and,of Scottes,Dolphin and Queene of Scottes
127,Sir,55,58,sayde,Iohn,sayde Sir Iohn
130,Marques,371,378,Lorde,of Northampton,Lorde Marques of Northampton
130,Queene,263,269,late,Maries,late Queene Maries
131,Edward,901,907,king,", as of","king Edward , as of"
131,Queene,926,932,sister,Mary,sister Queene Mary
132,Edward,288,294,King,.,King Edward .
138,Archbishop,24,34,"also, ye",of Yorke,"also, ye Archbishop of Yorke"
141,Doctor,72,78,Horne,of,Horne Doctor of
141,Doctor,111,117,"Diuinitie,",Huic,"Diuinitie, Doctor Huic"
141,maister,139,146,and,Sauage,and maister Sauage
141,Richarde,30,38,appointed Sir,Sackuille,appointed Sir Richarde Sackuille
141,Roberte,58,65,"Knighte,",Horne,"Knighte, Roberte Horne"
141,Sir,26,29,appointed,Richarde,appointed Sir Richarde
143,Byshop,485,491,elect,,elect Byshop
143,Doctor,456,462,commaundemente of,Grindall,commaundemente of Doctor Grindall
143,Doctor,521,527,"London,","May,","London, Doctor May,"
143,gray,337,341,their,Amises,their gray Amises
143,Iohn,177,181,Mary and,", standing","Mary and Iohn , standing"
145,Counte,636,642,against the,de Montgomerie,against the Counte de Montgomerie
145,Duke,538,542,"Philibert,",of Sauoy,"Philibert, Duke of Sauoy"
145,Margaret,484,492,Lady,of,Lady Margaret of
145,Philibert,527,536,and,", Duke","and Philibert , Duke"
147,Bishop,266,272,in the,of Londons,in the Bishop of Londons
147,Byshop,80,86,Barlow,of Chichester,Barlow Byshop of Chichester
147,Doctor,0,6,,Parker,Doctor Parker
147,Doctor,48,54,"elect,",,"elect, Doctor"
147,Doctor,112,118,and,Scory,and Doctor Scory
148,Marques,28,35,was the,of Winchester,was the Marques of Winchester
149,Byshop,140,146,"Grindall,",of London,"Grindall, Byshop of London"
149,Doctor,78,84,preached by,Scory,preached by Doctor Scory
149,Doctor,105,111,place of,,place of Doctor
150,Bishop,295,301,in the,of Londons,in the Bishop of Londons
152,Queene,89,95,and the,,and the Queene
152,Queene,309,315,And the,resisting,And the Queene resisting
152,Queene,563,569,sayde,",Frenchmen","sayde Queene ,Frenchmen"
152,Queene,952,958,vnto the,of  Englande,vnto the Queene of  Englande
153,Duke,314,318,of the,of,of the Duke of
153,Queene,360,366,to the,of Fraunce,to the Queene of Fraunce
153,Queene,475,481,foresayd,", as might","foresayd Queene , as might"
155,Queene,209,215,how the,of Scottes,how the Queene of Scottes
156,Duke,73,77,the,of,the Duke of
157,maister,12,19,"firste,",William,"firste, maister William"
157,Sir,35,38,"Winter,",William,"Winter, Sir William"
157,William,20,27,maister,Winter,maister William Winter
157,William,39,46,"Winter,Sir",Winter,"Winter,Sir William Winter"
159,George,129,135,,Howard,George Howard
159,Howard,136,142,George,departed,George Howard departed
159,Iames,23,28,Sir,Croft,Sir Iames Croft
159,Iames,89,94,,Croft,Iames Croft
159,Sir,19,22,,Iames,Sir Iames
159,Sir,67,70,"March,",,"March, Sir"
159,Sir,107,110,and,,and Sir
163,Iames,4,9,Sir,Crofte,Sir Iames Crofte
163,Sir,0,3,,Iames,Sir Iames
165,George,4,10,Sir,Howard,Sir George Howard
165,Howard,11,17,George,", generall","George Howard , generall"
165,Sir,0,3,,George,Sir George
166,Barnaby,8,15,Maister,Fitz,Maister Barnaby Fitz
166,Maister,0,7,,Barnaby,Maister Barnaby
167,Henry,4,9,Sir,Percy,Sir Henry Percy
167,Sir,0,3,,Henry,Sir Henry
168,Thomas,0,6,,Hugghens,Thomas Hugghens
169,maister,14,21,"Gower,",of the,"Gower, maister of the"
169,Thomas,0,6,,Gower,Thomas Gower
170,Maister,0,7,,William,Maister William
170,William,8,15,Maister,Pelham,Maister William Pelham
171,Edward,0,6,,Randol,Edward Randol
172,Maister,0,7,,Thomas,Maister Thomas
172,Thomas,8,14,Maister,Bourrough,Maister Thomas Bourrough
173,Cutbert,8,15,Maister,Vaughan,Maister Cutbert Vaughan
173,Maister,0,7,,Cutbert,Maister Cutbert
174,Maister,0,7,,Williams,Maister Williams
174,maister,22,29,and,Cornewall,and maister Cornewall
176,Iames,4,9,Sir,Croft,Sir Iames Croft
176,Lard,72,76,,of Whitlayes,Lard of Whitlayes
176,Sir,0,3,,Iames,Sir Iames
181,Iames,4,9,Sir,Croftes,Sir Iames Croftes
181,Lard,64,68,at the,of Cockburnes,at the Lard of Cockburnes
181,Sir,0,3,,Iames,Sir Iames
183,Earle,110,115,with the,of Arrayne,with the Earle of Arrayne
183,Earle,148,153,"Iames,The",of Arraine,"Iames,The Earle of Arraine"
183,Iames,18,23,Sir,Croft,Sir Iames Croft
183,Iames,138,143,Lorde,",The Earle","Lorde Iames ,The Earle"
183,Lard,253,257,"Kirkaudy,",of Grange,"Kirkaudy, Lard of Grange"
183,maister,193,200,the,,the maister
183,Priour,166,172,Arraine.,of S,Arraine. Priour of S
183,Sir,14,17,"euening,",Iames,"euening, Sir Iames"
183,sir,231,234,"Maxwell,",William,"Maxwell, sir William"
183,William,235,242,sir,Kirkaudy,sir William Kirkaudy
185,Abbot,729,734,the,of Saint,the Abbot of Saint
185,Abbot,779,784,the,of Cultos,the Abbot of Cultos
185,Byshop,705,711,the,of Galloway,the Byshop of Galloway
185,Duke,181,185,"Church,The",of Chateau,"Church,The Duke of Chateau"
185,Earle,384,389,the,of Arrayne,the Earle of Arrayne
185,George,101,107,,Howard,George Howard
185,Howard,108,114,George,", with","George Howard , with"
185,Iames,50,55,Sir,Croft,Sir Iames Croft
185,Iames,514,519,the L.,Prior,the L. Iames Prior
185,Lard,660,664,the,of Ormston,the Lard of Ormston
185,Lard,800,804,the,of Pettirowe,the Lard of Pettirowe
185,Lard,823,827,the,of Cunnyngha,the Lard of Cunnyngha
185,Lard,851,855,the,of Grange,the Lard of Grange
185,maister,637,644,the,of Maxwel,the maister of Maxwel
185,maister,681,688,the,of Lindsey,the maister of Lindsey
185,Sir,46,49,"Grey,",Iames,"Grey, Sir Iames"
